id,statement,source,date,category
1,"PM Modi addressed Pongal celebrations in New Delhi on January 14, 2026.",PIB - PRID 2214489,2026-01-14,Event
2,Ambassadors from three countries presented their credentials to the President of India.,PIB - PRID 2214480,2026-01-14,Diplomacy
3,The 26th National Youth Parliament Competition 2024-2025 award ceremony was held for Jawahar Navodaya Vidyalayas.,PIB - PRID 2214487,2026-01-14,Education
4,Wholesale Price Index numbers for December 2025 were released (Base Year: 2011-12).,PIB - PRID 2214492,2026-01-14,Economy
5,PM Modi will inaugurate the 28th Conference of Commonwealth Speakers and Presiding Officers on January 15.,PIB - PRID 2214457,2026-01-14,Event
6,"Union Home Minister Amit Shah addressed the 15th convocation ceremony at CHARUSAT in Anand, Gujarat.",PIB - PRID 2214349,2026-01-14,Education
7,Nine Amrit Bharat Express trains connecting Assam and West Bengal will be flagged off soon.,PIB - PRID 2214370,2026-01-14,Infrastructure
8,SECI achieved Excellent rating in MoU Performance for FY 2024-25.,PIB - PRID 2214371,2026-01-14,Energy
9,Central Bureau of Narcotics busted an MD manufacturing lab in Madhya Pradesh with record seizure.,PIB - PRID 2214326,2026-01-14,Law
10,The 10th Armed Forces Veterans Day will be celebrated to honor the valor and sacrifice of ex-servicemen.,PIB - PRID 2214369,2026-01-14,Defence
11,PM-KISAN scheme has transferred Rs 3.24 lakh crore to over 11.8 crore eligible farmers.,PIB Fact Check,2025-12-15,Agriculture
12,Ayushman Bharat scheme provides health coverage of Rs 5 lakh per family per year.,PIB Fact Check,2025-12-10,Health
13,The Digital India programme has created over 58 lakh jobs since its launch.,PIB Fact Check,2025-12-01,Technology
14,UPI transactions crossed 15 billion in November 2025.,NPCI Data via PIB,2025-12-05,Economy
15,Swachh Bharat Mission has constructed over 12 crore toilets in rural India.,PIB Fact Check,2025-11-25,Sanitation
16,India launched Chandrayaan-3 successfully in July 2023 and landed on the Moon south pole.,ISRO/PIB,2023-08-23,Space
17,Pradhan Mantri Ujjwala Yojana has provided free LPG connections to over 10 crore households.,PIB Fact Check,2025-10-15,Energy
18,National Education Policy 2020 introduced 5+3+3+4 structure for school education.,Ministry of Education/PIB,2020-07-29,Education
19,Jal Jeevan Mission aims to provide tap water to all rural households by 2026.,PIB Fact Check,2025-09-20,Infrastructure
20,GST collection crossed Rs 2.1 lakh crore in April 2025.,PIB/Ministry of Finance,2025-05-01,Economy
21,Make in India initiative has attracted over USD 130 billion in FDI since 2014.,PIB Fact Check,2025-08-15,Economy
22,Startup India has recognized over 1.25 lakh startups as of December 2025.,DPIIT/PIB,2025-12-20,Business
23,Vande Bharat Express trains are operating on 56 routes across India.,PIB/Railway Ministry,2025-11-10,Infrastructure
24,Aadhaar has been issued to over 140 crore residents of India.,UIDAI/PIB,2025-10-01,Governance
25,India became the 5th largest economy in the world surpassing UK in 2022.,PIB/IMF Data,2022-09-02,Economy
26,PMGSY has constructed over 8 lakh km of rural roads connecting remote villages.,PIB Fact Check,2025-07-25,Infrastructure
27,Unified Pension Scheme announced for Central Government employees in August 2024.,PIB - Cabinet Decision,2024-08-24,Policy
28,PM Vishwakarma scheme launched to support traditional artisans and craftspeople.,PIB,2023-09-17,Welfare
29,India achieved 200 GW renewable energy capacity milestone in 2025.,Ministry of New and Renewable Energy/PIB,2025-06-05,Energy
30,FAME-II scheme has supported deployment of over 1.5 million electric vehicles.,PIB/Heavy Industries Ministry,2025-09-10,Transport
31,National Green Hydrogen Mission aims to produce 5 million tonnes of green hydrogen annually by 2030.,PIB,2023-01-04,Energy
32,PM SVANidhi has disbursed loans to over 78 lakh street vendors.,PIB Fact Check,2025-08-20,Welfare
33,RBI maintained repo rate at 6.5% in December 2025 monetary policy review.,RBI/PIB,2025-12-06,Economy
34,National Logistics Policy aims to reduce logistics cost from 14% to 8% of GDP.,PIB,2022-09-17,Economy
35,PM MUDRA Yojana has sanctioned loans worth over Rs 28 lakh crore since launch.,PIB Fact Check,2025-11-15,Finance
36,Direct Benefit Transfer has saved Rs 3.48 lakh crore by eliminating middlemen.,PIB,2025-10-30,Governance
37,Government has not announced free electricity to all farmers as of January 2026.,PIB Fact Check,2026-01-01,Fact Check
38,Production Linked Incentive scheme covers 14 key sectors with Rs 1.97 lakh crore outlay.,PIB,2025-04-10,Industry
39,Krishi Infrastructure Fund worth Rs 1 lakh crore announced for agriculture infrastructure.,PIB,2020-05-15,Agriculture
40,One Nation One Ration Card scheme enables beneficiaries to access PDS from anywhere in India.,PIB,2025-03-20,Welfare
41,"National Highway construction has reached record 13,500 km per year.",PIB/MoRTH,2025-02-28,Infrastructure
42,PM Gati Shakti Master Plan integrates 16 ministries for infrastructure planning.,PIB,2021-10-13,Infrastructure
43,CoWIN platform administered over 220 crore COVID vaccine doses in India.,CoWIN/PIB,2023-04-15,Health
44,"India Semiconductor Mission has approved Rs 76,000 crore for chip manufacturing.",PIB,2024-03-01,Technology
45,Sagarmala project aims to modernize ports and develop coastal employment.,PIB/Shipping Ministry,2025-01-10,Infrastructure
46,"National Mission for Clean Ganga has completed 438 projects worth Rs 37,000 crore.",PIB,2025-06-30,Environment
47,RERA has registered over 1.2 lakh real estate projects ensuring buyer protection.,PIB/Housing Ministry,2025-05-25,Housing
48,Jan Dhan accounts have crossed 53 crore with total deposits over Rs 2.3 lakh crore.,PIB/Finance Ministry,2025-11-28,Finance
49,Skill India Mission has trained over 1.6 crore youth since 2015.,PIB,2025-07-15,Skill Development
50,UDAN scheme has operationalized 581 air routes connecting unserved airports.,PIB/Civil Aviation Ministry,2025-09-05,Aviation
